temp,humidity,wind_speed,pressure,description_len,clothing_label,color_label
36,45,4,1008,10,"Wear breathable fabrics, shorts, and sunglasses for hot weather.","Bright summer shades like sky blue, mint green, or peach."
33,50,5,1009,12,"Wear breathable fabrics, shorts, and sunglasses for hot weather.","Bright summer shades like sky blue, mint green, or peach."
31,60,3,1007,8,"Wear breathable fabrics, shorts, and sunglasses for hot weather.","Bright summer shades like sky blue, mint green, or peach."
10,70,4,1018,9,"Choose a warm coat, scarf, and layers for cold weather.","Warm/deep tones like maroon, navy, charcoal, or olive."
7,75,6,1020,11,"Choose a warm coat, scarf, and layers for cold weather.","Warm/deep tones like maroon, navy, charcoal, or olive."
13,65,5,1016,10,"Choose a warm coat, scarf, and layers for cold weather.","Warm/deep tones like maroon, navy, charcoal, or olive."
24,90,8,1005,13,Carry a waterproof jacket and wear comfortable shoes for rainy weather.,"Darker practical colors like navy, black, or deep gray."
27,88,10,1004,15,Carry a waterproof jacket and wear comfortable shoes for rainy weather.,"Darker practical colors like navy, black, or deep gray."
22,92,7,1006,14,Carry a waterproof jacket and wear comfortable shoes for rainy weather.,"Darker practical colors like navy, black, or deep gray."
26,55,12,1010,9,A comfortable outfit with a windbreaker is ideal for windy weather.,"Neutral sporty colors like gray, olive, and denim blue."
23,58,11,1012,10,A comfortable outfit with a windbreaker is ideal for windy weather.,"Neutral sporty colors like gray, olive, and denim blue."
20,60,9,1013,11,A comfortable outfit with a windbreaker is ideal for windy weather.,"Neutral sporty colors like gray, olive, and denim blue."
28,52,4,1011,9,A light layer with a jacket is a good choice for mild weather.,"Light colors like white, beige, or pastel blue."
25,57,5,1012,11,A light layer with a jacket is a good choice for mild weather.,"Light colors like white, beige, or pastel blue."
21,62,4,1014,10,A light layer with a jacket is a good choice for mild weather.,"Light colors like white, beige, or pastel blue."
